Index_accidente,lugar,nodo1,nodo2,peso,Accident_severity,date,time,speed_limit,weather_condition
200501BS00023,C. del Salvador 16,40.41397697014284 -3.706311558450064,40.41362795412976 -3.7074637889293753,6,3,24/01/2005,17:05,30,1
200501BS00024,Calle de la Colegiata,40.41306163991905 -3.7065154991243037,40.41397697014284 -3.706311558450064,2,3,24/01/2005,21:30,30,1
200501BS00025,Esq. Plaza Segovia Calle de Toledo 30,40.41341240206413 -3.7074704176458106,40.41306163991905 -3.7065154991243037,5,3,18/01/2005,17:25,30,1
200501BS00026,C. de Toledo 28 2�A,40.41362795412976 -3.7074637889293753,40.41341240206413 -3.7074704176458106,4,3,29/01/2005,07:34,30,1
200501BS00027,Pl. de Tirso de Molina 1B,40.41260368877389 -3.7051100740197835,40.41306163991905 -3.7065154991243037,2,3,19/01/2005,16:35,30,2
200501BS00028,Tirso dePlaza Pl. de Tirso de Molina 11,40.412035504778466 -3.7054105588280413,40.41260368877389 -3.7051100740197835,4,3,30/01/2005,20:00,30,1
200501BS00029,C. de Toledo 30,40.41334685956094 -3.707434400548294,40.412035504778466 -3.7054105588280413,1,3,29/01/2005,13:15,30,2
200501BS00030,C. de Toledo 38,40.41269702232539 -3.707552468664792,40.41334685956094 -3.707434400548294,3,3,1/02/2005,18:20,30,2
200501BS00031,C. de Toledo 47,40.41219007265042 -3.7078744165582536,40.41269702232539 -3.707552468664792,2,3,2/02/2005,07:25,30,1
200501BS00032,Calle del Conde de Romanones 18,40.41262002652968 -3.7050993451724428,40.41306163991905 -3.7065154991243037,6,2,1/02/2005,17:30,30,2
200501BS00033,C. de Concepci�n Jer�nima,40.414010090999724 -3.7045787932776286,40.41262002652968 -3.7050993451724428,3,3,3/02/2005,12:30,30,9
200501BS00034,Pl. de Tirso de Molina 18,40.412505218274354 -3.7039997169535956,40.41260368877389 -3.7051100740197835,4,3,12/02/2005,09:55,30,1
200501BS00035,C. de los Relatores 22,40.41252516728539 -3.703447216428759,40.412505218274354 -3.7039997169535956,1,3,3/02/2005,13:00,30,2
200501BS00036,C. de Atocha 19 1-izq,40.41418709548928 -3.7035813619187707,40.412505218274354 -3.7039997169535956,5,3,1/02/2005,13:02,30,1
200501BS00037,Plaza de Jacinto Benavente,40.41436180559483 -3.704042286205891,40.41418709548928 -3.7035813619187707,4,3,3/02/2005,22:55,30,1
200501BS00038,C. de Atocha,40.4139161506803 -3.702862179531099,40.41418709548928 -3.7035813619187707,2,3,3/02/2005,17:30,30,1
200501BS00039,C. de Carretas 33,40.414546161065466 -3.7030888262076895,40.41418709548928 -3.7035813619187707,5,3,6/02/2005,15:00,30,1
200501BS00040,Pl. del �ngel 12,40.41435818744664 -3.70227789791608,40.414546161065466 -3.7030888262076895,7,3,5/02/2005,21:25,30,1
200501BS00041,C. de Espoz y Mina 23,40.41511334337423 -3.7023423244860427,40.414546161065466 -3.7030888262076895,1,3,3/02/2005,12:41,30,1
200501BS00042,Pl. del �ngel 12,40.41435818744664 -3.70227789791608,40.41511334337423 -3.7023423244860427,4,3,4/02/2005,23:35,30,1
200501BS00043,Plaza del Angel,40.41415302942035 -3.7014411292825806,40.41435818744664 -3.70227789791608,4,3,7/02/2005,09:15,30,1
200501BS00044,C. de Atocha 28 ,40.41352763640918 -3.701671821443766,40.41415302942035 -3.7014411292825806,2,3,12/02/2005,13:25,30,1
200501BS00045,C. de Atocha 26,40.41370277353684 -3.702272666400505,40.41352763640918 -3.701671821443766,6,3,8/02/2005,20:00,30,1
200501BS00046,C. de Atocha,40.4139161506803 -3.702862179531099,40.41370277353684 -3.702272666400505,1,3,16/02/2005,08:20,30,1
200501BS00047,C. de los Relatores 22,40.41252516728539 -3.703447216428759,40.4139161506803 -3.702862179531099,4,3,7/02/2005,11:30,30,1
200501BS00048,Calle de la Magdalena 1,40.41248026941773 -3.7031794017638084,40.41252516728539 -3.703447216428759,4,3,10/02/2005,18:10,30,2
200501BS00049,Calle de la Magdalena,40.412426747121074 -3.7025786366795983,40.41248026941773 -3.7031794017638084,5,3,12/02/2005,11:33,30,1
200501BS00050,C. de Atocha 26,40.41370277353684 -3.702272666400505,40.412426747121074 -3.7025786366795983,12,3,13/02/2005,20:05,30,1
200501BS00051,Palacio del Marqu�s de Perales Calle de la Magdalena 14,40.412356 -3.701672,40.412426747121074 -3.7025786366795983,2,3,1/02/2005,16:44,30,2
200501BS00052,C. de Atocha 39,40.4134668089408 -3.701562180946397,40.412356 -3.701672,7,3,17/02/2005,18:00,30,2
200501BS00053,C. de Atocha 28 ,40.41352763640918 -3.701671821443766,40.4134668089408 -3.701562180946397,2,3,4/02/2005,10:15,30,1
200501BS00054,C. del Pr�ncipe 13,40.41443844896895 -3.701307041027433,40.41415302942035 -3.7014411292825806,9,2,15/02/2005,18:15,30,1
200501BS00055,C. del Pr�ncipe 14,40.41484637712848 -3.701349966814799,40.41443844896895 -3.701307041027433,15,3,16/02/2005,10:35,30,1
200501BS00056,C. del Pr�ncipe 27,40.414577712196966 -3.7002070390172843,40.41443844896895 -3.701307041027433,10,3,18/02/2005,17:36,30,2
200501BS00057,C. del Prado 6,40.414650762828046 -3.69955527470902,40.414577712196966 -3.7002070390172843,11,3,15/02/2005,16:05,30,1
200501BS00058,Calle de Echegaray 18,40.4151649674462 -3.6995821735612444,40.414650762828046 -3.69955527470902,2,3,10/02/2005,13:56,30,2
200501BS00059,Calle de Echegaray 30,40.41422467632576 -3.699544709143724,40.414650762828046 -3.69955527470902,5,3,16/02/2005,14:10,30,1
200501BS00060,C. del Le�n 8,40.41419289954001 -3.698798968540603,40.41422467632576 -3.699544709143724,4,3,21/02/2005,10:10,30,1
200501BS00061,C. de las Huertas 27-19,40.413657393249345 -3.6990243570335943,40.41419289954001 -3.698798968540603,9,3,20/02/2005,14:50,30,2
200501BS00062,C. de las Huertas 19,40.41376313885882 -3.699560893364432,40.413657393249345 -3.6990243570335943,3,3,22/02/2005,14:43,30,1
200501BS00063,Calle de Echegaray 30,40.41422467632576 -3.699544709143724,40.41376313885882 -3.699560893364432,5,3,21/02/2005,17:20,30,1
200501BS00064,C. de las Huertas 16,40.413875 -3.700119,40.41376313885882 -3.699560893364432,3,3,20/02/2005,12:40,30,1
200501BS00065,C. de las Huertas 1,40.414102 -3.701326,40.413875 -3.700119,1,3,20/02/2005,13:55,30,1
