Index_accidente,lugar,nodo1,nodo2,peso,Accident_severity,date,time,speed_limit,weather_condition
200501BS00023,C. del Salvador 16,40.41397697014284 -3.706311558450064,40.41362795412976 -3.7074637889293753,6,3,24/01/2005,17:05,30,1
200501BS00024,Calle de la Colegiata,40.41306163991905 -3.7065154991243037,40.41397697014284 -3.706311558450064,2,3,24/01/2005,21:30,30,1
200501BS00025,Esq. Plaza Segovia Calle de Toledo 30,40.41341240206413 -3.7074704176458106,40.41306163991905 -3.7065154991243037,5,3,18/01/2005,17:25,30,1
200501BS00026,C. de Toledo 28 2�A,40.41362795412976 -3.7074637889293753,40.41341240206413 -3.7074704176458106,4,3,29/01/2005,07:34,30,1
200501BS00027,Pl. de Tirso de Molina 1B,40.41260368877389 -3.7051100740197835,40.41306163991905 -3.7065154991243037,2,3,19/01/2005,16:35,30,2
200501BS00028,Tirso dePlaza Pl. de Tirso de Molina 11,40.412035504778466 -3.7054105588280413,40.41260368877389 -3.7051100740197835,4,3,30/01/2005,20:00,30,1
200501BS00029,C. de Toledo 30,40.41334685956094 -3.707434400548294,40.412035504778466 -3.7054105588280413,1,3,29/01/2005,13:15,30,2
200501BS00030,C. de Toledo 38,40.41269702232539 -3.707552468664792,40.41334685956094 -3.707434400548294,3,3,1/02/2005,18:20,30,2
200501BS00031,C. de Toledo 47,40.41219007265042 -3.7078744165582536,40.41269702232539 -3.707552468664792,2,3,2/02/2005,07:25,30,1
200501BS00032,Calle del Conde de Romanones 18,40.41262002652968 -3.7050993451724428,40.41306163991905 -3.7065154991243037,6,2,1/02/2005,17:30,30,2
200501BS00033,C. de Concepci�n Jer�nima,40.414010090999724 -3.7045787932776286,40.41262002652968 -3.7050993451724428,3,3,3/02/2005,12:30,30,9
200501BS00034,Pl. de Tirso de Molina 18,40.412505218274354 -3.7039997169535956,40.41260368877389 -3.7051100740197835,4,3,12/02/2005,09:55,30,1
200501BS00035,C. de los Relatores 22,40.41252516728539 -3.703447216428759,40.412505218274354 -3.7039997169535956,1,3,3/02/2005,13:00,30,2
200501BS00036,C. de Atocha 19 1-izq,40.41418709548928 -3.7035813619187707,40.412505218274354 -3.7039997169535956,5,3,1/02/2005,13:02,30,1
200501BS00037,Plaza de Jacinto Benavente,40.41436180559483 -3.704042286205891,40.41418709548928 -3.7035813619187707,4,3,3/02/2005,22:55,30,1
200501BS00038,C. de Atocha,40.4139161506803 -3.702862179531099,40.41418709548928 -3.7035813619187707,2,3,3/02/2005,17:30,30,1
200501BS00039,C. de Carretas 33,40.414546161065466 -3.7030888262076895,40.41418709548928 -3.7035813619187707,5,3,6/02/2005,15:00,30,1
200501BS00040,Pl. del �ngel 12,40.41435818744664 -3.70227789791608,40.414546161065466 -3.7030888262076895,7,3,5/02/2005,21:25,30,1
200501BS00041,C. de Espoz y Mina 23,40.41511334337423 -3.7023423244860427,40.414546161065466 -3.7030888262076895,1,3,3/02/2005,12:41,30,1
200501BS00042,Pl. del �ngel 12,40.41435818744664 -3.70227789791608,40.41511334337423 -3.7023423244860427,4,3,4/02/2005,23:35,30,1
200501BS00043,Plaza del Angel,40.41415302942035 -3.7014411292825806,40.41435818744664 -3.70227789791608,4,3,7/02/2005,09:15,30,1
200501BS00044,C. de Atocha 28 ,40.41352763640918 -3.701671821443766,40.41415302942035 -3.7014411292825806,2,3,12/02/2005,13:25,30,1
200501BS00045,C. de Atocha 26,40.41370277353684 -3.702272666400505,40.41352763640918 -3.701671821443766,6,3,8/02/2005,20:00,30,1
200501BS00046,C. de Atocha,40.4139161506803 -3.702862179531099,40.41370277353684 -3.702272666400505,1,3,16/02/2005,08:20,30,1
200501BS00047,C. de los Relatores 22,40.41252516728539 -3.703447216428759,40.4139161506803 -3.702862179531099,4,3,7/02/2005,11:30,30,1
200501BS00048,Calle de la Magdalena 1,40.41248026941773 -3.7031794017638084,40.41252516728539 -3.703447216428759,4,3,10/02/2005,18:10,30,2
200501BS00049,Calle de la Magdalena,40.412426747121074 -3.7025786366795983,40.41248026941773 -3.7031794017638084,5,3,12/02/2005,11:33,30,1
200501BS00050,C. de Atocha 26,40.41370277353684 -3.702272666400505,40.412426747121074 -3.7025786366795983,12,3,13/02/2005,20:05,30,1
200501BS00051,Palacio del Marqu�s de Perales Calle de la Magdalena 14,40.412356 -3.701672,40.412426747121074 -3.7025786366795983,2,3,1/02/2005,16:44,30,2
200501BS00052,C. de Atocha 39,40.4134668089408 -3.701562180946397,40.412356 -3.701672,7,3,17/02/2005,18:00,30,2
200501BS00053,C. de Atocha 28 ,40.41352763640918 -3.701671821443766,40.4134668089408 -3.701562180946397,2,3,4/02/2005,10:15,30,1
200501BS00054,C. del Pr�ncipe 13,40.41443844896895 -3.701307041027433,40.41415302942035 -3.7014411292825806,9,2,15/02/2005,18:15,30,1
200501BS00055,C. del Pr�ncipe 14,40.41484637712848 -3.701349966814799,40.41443844896895 -3.701307041027433,15,3,16/02/2005,10:35,30,1
200501BS00056,C. del Pr�ncipe 27,40.414577712196966 -3.7002070390172843,40.41443844896895 -3.701307041027433,10,3,18/02/2005,17:36,30,2
200501BS00057,C. del Prado 6,40.414650762828046 -3.69955527470902,40.414577712196966 -3.7002070390172843,11,3,15/02/2005,16:05,30,1
200501BS00058,Calle de Echegaray 18,40.4151649674462 -3.6995821735612444,40.414650762828046 -3.69955527470902,2,3,10/02/2005,13:56,30,2
200501BS00059,Calle de Echegaray 30,40.41422467632576 -3.699544709143724,40.414650762828046 -3.69955527470902,5,3,16/02/2005,14:10,30,1
200501BS00060,C. del Le�n 8,40.41419289954001 -3.698798968540603,40.41422467632576 -3.699544709143724,4,3,21/02/2005,10:10,30,1
200501BS00061,C. de las Huertas 27-19,40.413657393249345 -3.6990243570335943,40.41419289954001 -3.698798968540603,9,3,20/02/2005,14:50,30,2
200501BS00062,C. de las Huertas 19,40.41376313885882 -3.699560893364432,40.413657393249345 -3.6990243570335943,3,3,22/02/2005,14:43,30,1
200501BS00063,Calle de Echegaray 30,40.41422467632576 -3.699544709143724,40.41376313885882 -3.699560893364432,5,3,21/02/2005,17:20,30,1
200501BS00064,C. de las Huertas 16,40.413875 -3.700119,40.41376313885882 -3.699560893364432,3,3,20/02/2005,12:40,30,1
200501BS00065,C. de las Huertas 1,40.414102 -3.701326,40.413875 -3.700119,1,3,20/02/2005,13:55,30,1
200501BS00066,Plaza de Santa Cruz 4,40.41500160825496 -3.705572506059343,40.41483404954239 -3.7056757268322182,2,3,26/02/2005,22:25,30,1
200501BS00067,Calle de la Bolsa 8,40.41484492038403 -3.704419201625683,40.41500160825496 -3.705572506059343,2,3,28/02/2005,18:14,30,1
200501BS00068,Calle de la Bolsa,40.414725489416846 -3.7039579115408903,40.41484492038403 -3.704419201625683,5,3,24/02/2005,16:30,30,1
200501BS00069,C. de Atocha 14,40.4143982989374 -3.704102790752911,40.414725489416846 -3.7039579115408903,1,3,1/03/2005,19:00,30,2
200501BS00070,C. de Esparteros 13,40.41528414009291 -3.705516375557765,40.41500160825496 -3.705572506059343,2,3,23/02/2005,17:13,30,1
200501BS00071,Plaza de Santa Cruz 28012 ,40.41529098612575 -3.7057401244263626,40.41528414009291 -3.705516375557765,5,3,26/02/2005,17:00,30,2
200501BS00072,Plaza de Santa Cruz 28013,40.41490921318202 -3.7058247338062684,40.41529098612575 -3.7057401244263626,2,3,24/02/2005,09:15,30,3
200501BS00073,Plaza de Santa Cruz 28014,40.41499451536521 -3.7060849257355435,40.41490921318202 -3.7058247338062684,4,3,25/02/2005,00:11,30,2
200501BS00074,C. de Gerona 2-16,40.41513699535559 -3.7065570202387716,40.41499451536521 -3.7060849257355435,3,3,23/02/2005,19:00,30,1
200501BS00075,C. de Zaragoza 4,40.415340759257795 -3.706015245245605,40.41499451536521 -3.7060849257355435,2,3,26/02/2005,01:48,30,8
200501BS00076,C. de Zaragoza 11,40.41541488306354 -3.7064444048986895,40.415340759257795 -3.706015245245605,3,3,23/02/2005,07:58,30,3
200501BS00077,Pl. Mayor 33,40.41542669783671 -3.706583926334618,40.41541488306354 -3.7064444048986895,1,3,25/02/2005,14:55,30,1
200501BS00078,C. de la Sal 2,40.41575094397814 -3.7062071010436948,40.41541488306354 -3.7064444048986895,2,3,25/02/2005,08:22,30,3
200501BS00079,C. de la Sal 32-1,40.415706539266814 -3.7066135061550707,40.41575094397814 -3.7062071010436948,4,3,25/02/2005,04:38,30,3
200501BS00080,C. de San Crist�bal 4,40.41599806871836 -3.705704282569846,40.41575094397814 -3.7062071010436948,2,3,4/03/2005,13:20,30,2
200501BS00081,C. de Postas 17,40.41576075875158 -3.7057258091361995,40.41599806871836 -3.705704282569846,4,3,1/03/2005,00:30,30,1
200501BS00082,C. de la Sal 2,40.41575094397814 -3.7062071010436948,40.41576075875158 -3.7057258091361995,2,3,28/02/2005,19:30,30,3
200501BS00083,C. del Marqu�s Viudo de Pontejos,40.41572767098412 -3.7052376894138566,40.41576075875158 -3.7057258091361995,2,3,1/03/2005,12:03,30,2
200501BS00084,Casa Palazuelo,40.41647874378233 -3.7050875477729637,40.41572767098412 -3.7052376894138566,1,3,14/02/2005,23:03,30,1
200501BS00085,C. Mayor 6 1�,40.416433318691226 -3.7057849257855504,40.41647874378233 -3.7050875477729637,4,3,2/02/2005,22:19,30,2
200501BS00086,C. de San Crist�bal 4,40.41599806871836 -3.705704282569846,40.416433318691226 -3.7057849257855504,3,3,3/03/2005,14:30,30,1
200501BS00087,C. de Esparteros 1,40.41632418848949 -3.7051574096752904,40.41599806871836 -3.705704282569846,2,2,1/03/2005,19:15,30,2
200501BS00088,C. del Arenal 9,40.41711535232118 -3.7059468194421705,40.416433318691226 -3.7057849257855504,7,3,1/03/2005,18:31,30,2
200501BS00089,C. Mayor 28013 ,40.41626539209582 -3.7069999920883627,40.416433318691226 -3.7057849257855504,2,3,5/03/2005,02:58,30,1
200501BS00090,C. de Felipe III 4,40.41598667756599 -3.706904963792874,40.41626539209582 -3.7069999920883627,6,3,1/03/2005,10:40,30,1
200501BS00091,C. del Arenal 13,40.416770414432236 -3.7069962465739827,40.41626539209582 -3.7069999920883627,2,3,8/03/2005,23:40,30,1
200501BS00092,C. de Bordadores 1,40.4161450607429 -3.7079296602268905,40.41626539209582 -3.7069999920883627,3,3,3/03/2005,21:07,30,1
200501BS00093,Plaza Comandante las Morenas,40.41599352833928 -3.708670041185688,40.4161450607429 -3.7079296602268905,2,2,5/03/2005,18:40,30,2
200501BS00094,Pl. de San Miguel,40.41560504117956 -3.7087934330808037,40.41599352833928 -3.708670041185688,4,3,5/03/2005,16:55,30,1
200501BS00095,Pl. de San Miguel 5,40.41533906740961 -3.708589603556471,40.41560504117956 -3.7087934330808037,3,3,8/03/2005,13:36,30,1
200501BS00096,Cost.ª de Santiago 2,40.416343370117836 -3.708739855194623,40.41599352833928 -3.708670041185688,2,3,6/03/2005,01:05,30,1
200501BS00097,Plaza de Herradores,40.416429734586615 -3.7085361035945223,40.416343370117836 -3.708739855194623,4,3,8/03/2005,12:20,30,1
200501BS00098,Plaza de Herradores 2,40.41674066550597 -3.708495918350164,40.416429734586615 -3.7085361035945223,3,3,8/03/2005,08:56,30,1
200501BS00099,Plaza de Herradores 3,40.41678312903384 -3.7086917527324363,40.416429734586615 -3.7085361035945223,1,3,9/03/2005,16:55,30,1
200501BS00100,C. de San Felipe Neri 2,40.416292540291685 -3.708150045281313,40.416429734586615 -3.7085361035945223,2,3,9/03/2005,15:35,30,1
200501BS00101,Tr.ª de Bringas 3-1,40.415784748496705 -3.7086217717110714,40.41599352833928 -3.708670041185688,3,3,14/03/2005,17:35,30,1
200501BS00102,Calle de Cdad. Rodrigo 2,40.41569643354358 -3.7081792870025883,40.415784748496705 -3.7086217717110714,4,3,17/03/2005,09:15,30,1
200501BS00103,Plaza Mayor,40.41490109999872 -3.70632464662998,40.41569643354358 -3.7081792870025883,5,3,13/03/2005,00:15,30,1
200501BS00104,C. del 7 de Julio,40.41581994795222 -3.7079270692623063,40.41599352833928 -3.708670041185688,2,3,15/03/2005,13:02,30,1
200501BS00105,Plaza Mayor,40.41490109999872 -3.70632464662998,40.41581994795222 -3.7079270692623063,1,3,14/03/2005,20:00,30,1
200501BS00106,Plaza de la Villa,40.41553969294058 -3.7102793768706426,40.41599352833928 -3.708670041185688,1,3,15/03/2005,15:31,30,1
200501BS00107,Plaza de la Villa 2,40.41533657143406 -3.7102158342928124,40.41553969294058 -3.7102793768706426,2,2,15/03/2005,09:40,30,1
200501BS00108,Plaza de la Villa 3,40.41497468535447 -3.7102976588432823,40.41533657143406 -3.7102158342928124,3,2,9/03/2005,09:13,30,1
200501BS00109,Pl. del Cordón 5,40.41435342839676 -3.710364806688819,40.41497468535447 -3.7102976588432823,2,3,18/03/2005,14:41,30,1
200501BS00110,Pl. del Cordón 1,40.414022112772884 -3.7104935974997164,40.41435342839676 -3.710364806688819,5,3,9/03/2005,08:17,30,1
200501BS00111,C. del Rollo 7,40.41386643920636 -3.711030093253061,40.414022112772884 -3.7104935974997164,3,3,17/03/2005,11:07,30,1
200501BS00112,C. del Rollo 7-1,40.413888955194345 -3.711177704846009,40.41386643920636 -3.711030093253061,6,3,17/03/2005,20:55,30,1
200501BS00113,C. del Rollo 7-2,40.41401107591525 -3.7112394422925825,40.413888955194345 -3.711177704846009,2,3,17/03/2005,23:30,30,1
200501BS00114,C. de Segovia 16,40.413822764204575 -3.711609596281534,40.413888955194345 -3.711177704846009,2,3,13/03/2005,20:45,30,1
200501BS00115,C. del Alamillo 1,40.41372023567 -3.7117330330822544,40.413822764204575 -3.711609596281534,3,2,16/03/2005,20:20,30,1
200501BS00116,C. de Segovia 15,40.413887204283085 -3.7119315349446547,40.413822764204575 -3.711609596281534,5,3,24/03/2005,13:53,30,1
200501BS00117,C. de la Villa 1,40.414446300966986 -3.7125860104653703,40.413887204283085 -3.7119315349446547,2,3,20/03/2005,14:31,30,1
200501BS00118,Iglesia Catedral de las Fuerzas Armadas,40.41486040354263 -3.7122641864040897,40.414446300966986 -3.7125860104653703,2,3,21/03/2005,09:22,30,1
200501BS00119,C. Mayor 77,40.41500289562737 -3.7122320649377687,40.41486040354263 -3.7122641864040897,3,3,18/03/2005,18:03,30,1
200501BS00120,C. Mayor 84,40.41521482824147 -3.7123126177390473,40.41500289562737 -3.7122320649377687,5,3,20/03/2005,13:45,30,1
200501BS00121,C. del Sacramento 10,40.41474873475983 -3.7115830906624936,40.41500289562737 -3.7122320649377687,2,3,23/03/2005,15:45,30,1
200501BS00122,C. Mayor 71,40.415234276709036 -3.711414172341375,40.41474873475983 -3.7115830906624936,3,3,24/02/2005,08:17,30,1
200501BS00123,Palacio de O'Reilly,40.41461915728357 -3.7111808993146718,40.41474873475983 -3.7115830906624936,2,3,23/03/2005,23:17,30,1
200501BS00124,C. del Sacramento 5 3,40.414494173070004 -3.7108590864345214,40.41461915728357 -3.7111808993146718,2,3,24/03/2005,19:20,30,1
200501BS00125,Plaza del Cordón,40.41421396782287 -3.7101617771577367,40.414494173070004 -3.7108590864345214,3,3,24/03/2005,12:01,30,1
200501BS00126,C. de San Justo 3,40.414164532832174 -3.7099526392763833,40.41421396782287 -3.7101617771577367,4,3,31/03/2005,23:39,30,1
200501BS00127,Plaza del Cordón 1,40.41410073756349 -3.7103549828192546,40.41421396782287 -3.7101617771577367,2,3,21/03/2005,11:40,30,1
200501BS00128,Plaza del Cordón 2,40.41407573889001 -3.7100868305823846,40.41421396782287 -3.7101617771577367,3,3,18/03/2005,12:30,30,1
200501BS00129,Pl. de Prta Cerrada 7,40.41376074890662 -3.7088530354641533,40.414164532832174 -3.7099526392763833,2,3,24/02/2005,12:40,30,2
200501BS00130,C. de Calderón de la Barca 1,40.41544306465347 -3.711041284448119,40.41521482824147 -3.7123126177390473,5,3,24/03/2005,09:20,30,1
200501BS00131,C. del Rollo 1,40.415066890894195 -3.711100360067509,40.41544306465347 -3.711041284448119,2,3,23/03/2005,08:23,30,1
200501BS00132,Plaza de la Villa,40.41553969294058 -3.7102793768706426,40.41544306465347 -3.711041284448119,3,3,23/03/2005,18:36,30,1
200501BS00133,C. Mayor 70,40.41558465619945 -3.7102743391772353,40.41553969294058 -3.7102793768706426,2,3,31/03/2005,17:10,30,1
200501BS00134,Convento de las Carboneras del Corpus Christi C. de Puñonrostro 2,40.41483581897972 -3.7097545115405857,40.41533657143406 -3.7102158342928124,3,3,14/03/2005,15:30,30,1
200501BS00135,Iglesia Corpus Christi,40.41479348083249 -3.7098135600679374,40.41483581897972 -3.7097545115405857,2,3,12/03/2005,03:00,30,1
200501BS00136,Plaza del Conde de Miranda,40.4148828998178 -3.709261116425643,40.41483581897972 -3.7097545115405857,2,3,9/04/2005,09:45,30,1
200501BS00137,C. del Conde de Miranda 2,40.41493860420294 -3.709262492572905,40.4148828998178 -3.709261116425643,1,3,7/04/2005,14:30,30,2
200501BS00138,Plaza Conde de Barajas,40.41454911401174 -3.709089548999058,40.4148828998178 -3.709261116425643,2,3,2/04/2005,11:09,30,1
200501BS00139,Plaza Conde de Barajas 1,40.41439139824862 -3.7089742164462263,40.41454911401174 -3.709089548999058,2,2,17/03/2005,17:00,30,1
200501BS00140,Pl. del Conde de Barajas 1,40.414376649841195 -3.708456585158861,40.41439139824862 -3.7089742164462263,2,3,31/03/2005,15:12,30,1
200501BS00141,Plaza Conde de Barajas 2,40.41454972912728 -3.708453969263513,40.414376649841195 -3.708456585158861,2,3,7/04/2005,13:15,30,1
200501BS00142,Plaza Conde de Barajas,40.41454911401174 -3.709089548999058,40.41454972912728 -3.708453969263513,3,3,31/03/2005,21:25,30,1
200501BS00143,Cava de San Miguel 1,40.41459008827244 -3.7080570845547483,40.41454972912728 -3.708453969263513,4,3,6/04/2005,00:32,30,1
200501BS00144,Pl. de San Miguel 5,40.41533906740961 -3.708589603556471,40.41459008827244 -3.7080570845547483,3,3,5/04/2005,08:25,30,1
200501BS00145,Aptdo 54137,40.415175887534964 -3.7093206502475344,40.41533906740961 -3.708589603556471,2,3,8/04/2005,09:04,30,1
200501BS00146,Mercado de San Miguel,40.4154429653947 -3.709360984530566,40.415175887534964 -3.7093206502475344,2,3,2/04/2005,16:42,30,1
200501BS00147,Pl. de San Miguel,40.41560504117956 -3.7087934330808037,40.4154429653947 -3.709360984530566,3,3,6/04/2005,08:40,30,2
200501BS00148,Pl. de Prta Cerrada 1,40.41375643770228 -3.7082609993488007,40.41459008827244 -3.7080570845547483,4,2,1/04/2005,23:40,30,1
200501BS00149,Plaza Segovia Nueva,40.41359003108117 -3.707791012181799,40.41375643770228 -3.7082609993488007,3,3,6/04/2005,18:15,30,1
200501BS00150,Pl. de Prta Cerrada 7,40.41376074890662 -3.7088530354641533,40.41375643770228 -3.7082609993488007,2,2,4/04/2005,06:18,30,1
200501BS00151,C. de Toledo 28 2ºA,40.41362795412976 -3.7074637889293753,40.41359003108117 -3.707791012181799,3,3,8/04/2005,10:40,30,1
200501BS00152,C. de Toledo 30,40.41334685956094 -3.707434400548294,40.41359003108117 -3.707791012181799,3,3,8/04/2005,08:28,30,2
200501BS00153,C. de Grafal 7,40.41295237793824 -3.7083905251553677,40.41359003108117 -3.707791012181799,4,3,8/04/2005,12:58,30,1
200501BS00154,C. de la Cava Alta 14,40.412563923651106 -3.708471017740428,40.41295237793824 -3.7083905251553677,2,3,10/04/2005,19:25,30,1
200501BS00155,C. de la Cava Baja 16,40.41299639504165 -3.7085729754119034,40.41295237793824 -3.7083905251553677,3,3,13/03/2005,08:43,30,1
200501BS00156,28005 Madrid España,40.41158394224793 -3.71056414031637,40.412563923651106 -3.708471017740428,2,3,19/04/2005,13:28,30,2
200501BS00157,Pl. de la Cebada,40.411499712584224 -3.710558787056467,40.41158394224793 -3.71056414031637,3,3,3/04/2005,18:15,30,1
200501BS00158,C. de la Cava Baja 42,40.411755799047036 -3.710647618589738,40.41158394224793 -3.71056414031637,4,3,12/04/2005,15:50,30,1
200501BS00159,C. del Almendro 27,40.41205396661747 -3.7107012627806286,40.411755799047036 -3.710647618589738,2,3,13/04/2005,09:50,30,2
200501BS00160,C. de la Cava Baja 16,40.41299639504165 -3.7085729754119034,40.41205396661747 -3.7107012627806286,3,3,14/04/2005,20:05,30,1
200501BS00161,Pl. de Prta Cerrada 1,40.41375643770228 -3.7082609993488007,40.41299639504165 -3.7085729754119034,1,3,13/04/2005,22:50,30,1
200501BS00162,C. del Almendro 4,40.412908456817654 -3.7090666108111883,40.41299639504165 -3.7085729754119034,2,3,16/04/2005,10:10,30,1
200501BS00163,C. del Nuncio 8,40.413394174896276 -3.7093401632428176,40.412908456817654 -3.7090666108111883,3,3,16/04/2005,18:45,30,1
200501BS00164,C. del Almendro 15,40.41264629623481 -3.7100215325549457,40.412908456817654 -3.7090666108111883,3,3,8/04/2005,17:30,30,1
200501BS00165,Pl. de Prta Cerrada 7,40.413513783404056 -3.7089191636248384,40.413394174896276 -3.7093401632428176,2,3,14/04/2005,09:30,30,1
200501BS00166,Iglesia San Pedro el Viejo,40.41314574894338 -3.710383737530424,40.413394174896276 -3.7093401632428176,2,3,14/04/2005,12:55,30,1
200501BS00167,C. del Almendro 15,40.41264629623481 -3.7100215325549457,40.41314574894338 -3.710383737530424,1,3,18/04/2005,12:24,30,1
200501BS00168,C. del Nuncio 14,40.41326001968933 -3.7105404728826152,40.41314574894338 -3.710383737530424,3,3,20/04/2005,17:00,30,1
200501BS00169,C. del Almendro 27,40.41205396661747 -3.7107012627806286,40.41314574894338 -3.710383737530424,1,3,19/04/2005,19:25,30,1
200501BS00170,C. del Almendro 15,40.41264629623481 -3.7100215325549457,40.41205396661747 -3.7107012627806286,2,3,10/04/2005,19:06,30,1
200501BS00171,Museo de San Isidro,40.412200094918006 -3.7110071332450953,40.41205396661747 -3.7107012627806286,1,3,20/04/2005,07:50,30,1
200501BS00172,C. de Segovia 8,40.413551537142 -3.7104546054489895,40.41326001968933 -3.7105404728826152,2,2,16/04/2005,20:42,30,1
200501BS00173,Palacio del Príncipe de Anglona,40.41332027673961 -3.7110018220890018,40.41326001968933 -3.7105404728826152,3,3,17/04/2005,13:30,30,1
200501BS00174,Jardín del Príncipe de Anglona,40.41355265549983 -3.7113746785107353,40.41332027673961 -3.7110018220890018,1,3,16/04/2005,21:00,30,1
200501BS00175,C. de Segovia 6,40.413591888880894 -3.7101005998978613,40.413551537142 -3.7104546054489895,1,3,16/04/2005,17:35,30,1
200501BS00176,C. de Segovia 16,40.413822764204575 -3.711609596281534,40.413591888880894 -3.7101005998978613,2,2,16/04/2005,17:30,30,1
200501BS00177,Pl. de la Paja 10,40.4130580726765 -3.7116794072947883,40.41372023567 -3.7117330330822544,3,3,20/04/2005,14:40,30,1
200501BS00178,Pl. de Prta Cerrada 7,40.413513783404056 -3.7089191636248384,40.413591888880894 -3.7101005998978613,3,3,17/04/2005,00:21,30,1
200501BS00179,C. de San Justo 3,40.414164532832174 -3.7099526392763833,40.413591888880894 -3.7101005998978613,1,3,23/04/2005,00:55,30,1
200501BS00180,Basílica Pontificia de San Miguel,40.41428249106784 -3.7097005238357648,40.414164532832174 -3.7099526392763833,2,3,22/04/2005,20:30,30,1
200501BS00181,Palacio 28005 Madrid España,40.41131634495435 -3.708339621464098,40.41219007265042 -3.7078744165582536,3,3,20/04/2005,08:44,30,1
200501BS00182,Teatro La Latina,40.411483310255086 -3.7087741693337577,40.41131634495435 -3.708339621464098,2,3,25/04/2005,08:45,30,2
200501BS00183,C. de la Cava Alta 14,40.412563923651106 -3.708471017740428,40.41219007265042 -3.7078744165582536,2,3,24/04/2005,17:45,30,1
200501BS00184,C. de San Millán 2,40.411532042170826 -3.707252178837756,40.41131634495435 -3.708339621464098,4,3,25/04/2005,19:10,30,1
200501BS00185,C. de Toledo 38,40.41269702232539 -3.707552468664792,40.411532042170826 -3.707252178837756,2,3,23/04/2005,21:20,30,1
200501BS00186,C. de Toledo 47,40.41219007265042 -3.7078744165582536,40.41269702232539 -3.707552468664792,2,3,23/04/2005,13:45,30,1
200501BS00187,Tirso dePlaza Pl. de Tirso de Molina 11,40.412035504778466 -3.7054105588280413,40.411532042170826 -3.707252178837756,3,3,16/04/2005,17:45,30,1
200501BS00188,C. del Mesón de Paredes 10,40.41138560967031 -3.7050539176897717,40.412035504778466 -3.7054105588280413,4,3,28/04/2005,12:45,30,1
200501BS00189,C. de la Encomienda N2,40.410980776449264 -3.7048071882554217,40.41138560967031 -3.7050539176897717,2,3,2/05/2005,17:24,30,1
200501BS00190,C. del Mesón de Paredes 19,40.410678088138326 -3.7046221790604146,40.410980776449264 -3.7048071882554217,1,3,2/05/2005,18:40,30,1
